Privateer #2 attack Rakyat #24
Pirate #10 attack Privateer #1
Privateer #11 attack Rakyat #18
Privateer #14 attack Rakyat #18
Privateer #16 attack Rakyat #8
Rakyat #17 attack Pirate #4
Rakyat #20 attack Pirate #5
Rakyat #20 attack Pirate #19
Rakyat #22 attack Pirate #15
Rakyat #0 attack Pirate #12
Rakyat #17 attack Pirate #4
Rakyat #23 attack Pirate #26
Rakyat #25 attack Pirate #9
Rakyat #25 attack Pirate #19
Pirate #26 attack Privateer #2
Pirate #26 attack Privateer #13
Privateer #13 attack Rakyat #20
Rakyat #22 attack Pirate #15
Rakyat #23 attack Pirate #26
Pirate #4 attack Privateer #6
Rakyat #25 attack Pirate #7
Rakyat #22 attack Pirate #10
Pirate #4 attack Privateer #6
Rakyat #17 attack Pirate #4
Privateer #11 attack Rakyat #18
Rakyat #17 attack Pirate #4
Pirate #19 attack Privateer #16
Privateer #21 attack Rakyat #0
Pirate #28 attack Privateer #13
Pirate #19 attack Privateer #27
Pirate #28 attack Privateer #13
Privateer #6 attack Rakyat #17
Pirate #28 attack Privateer #13
Privateer #14 attack Rakyat #18
Privateer #16 attack Rakyat #22
Privateer #6 attack Rakyat #18
Rakyat #29 attack Pirate #19
Privateer #6 attack Rakyat #18
Rakyat #25 attack Pirate #28
Rakyat #25 attack Pirate #28
Rakyat #23 attack Pirate #19
Rakyat #29 attack Pirate #19
Privateer #13 attack Rakyat #18
Privateer #6 attack Rakyat #25
Privateer #6 attack Rakyat #25
Privateer #21 attack Rakyat #23
Privateer #6 attack Rakyat #25
Privateer #6 attack Rakyat #25
Privateer #21 attack Rakyat #29
Privateer #11 attack Rakyat #3
Privateer #14 attack Rakyat #18
Privateer #13 attack Rakyat #18
Privateer #11 attack Rakyat #25
